pcode,bpscode,prov
1,76,Sulawesi Barat
2,82,Maluku Utara
3,11,Aceh
4,12,Sumatera Utara
5,13,Sumatera Barat
6,14,Riau
7,15,Jambi
8,16,Sumatera Selatan
9,17,Bengkulu
10,18,Lampung
11,31,DKI Jakarta
12,32,Jawa Barat
13,33,Jawa Tengah
14,34,DI Yogyakarta
15,35,Jawa Timur
16,61,Kalimantan Barat
17,62,Kalimantan Tengah
18,64,Kalimantan Timur
19,63,Kalimantan Selatan
20,51,Bali
21,52,NTB
22,53,NTT
23,73,Sulawesi Selatan
24,72,Sulawesi Tengah
25,71,Sulawesi Utara
26,74,Sulawesi Tenggara
27,81,Maluku
28,94,Papua
29,36,Banten
30,19,Bangka Belitung
31,75,Gorontalo
32,21,Kepulauan Riau
33,91,Papua Barat
34,65,Kalimantan Utara